2023-08-15 12:45:15.225349
{'time': '15.08.2023 17:24:47', 'latitude': '53.178295', 'longitude': '45.008877', 'Температура': '25.04', 'Влажность': '40.66', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1298, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:25:08', 'latitude': '53.178299', 'longitude': '45.008877', 'Температура': '25.04', 'Влажность': '40.64', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1307, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:25:28', 'latitude': '53.178299', 'longitude': '45.008877', 'Температура': '25.05', 'Влажность': '40.61', 'Давление': '747.51', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1280, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:25:49', 'latitude': '53.178299', 'longitude': '45.008873', 'Температура': '25.06', 'Влажность': '40.57', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1288, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:26:09', 'latitude': '53.178299', 'longitude': '45.008873', 'Температура': '25.07', 'Влажность': '40.53', 'Давление': '747.50', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1298, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:26:30', 'latitude': '53.178299', 'longitude': '45.008869', 'Температура': '25.07', 'Влажность': '40.50', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1288, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:26:50', 'latitude': '53.178299', 'longitude': '45.008869', 'Температура': '25.10', 'Влажность': '40.45', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1298, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:27:11', 'latitude': '53.178299', 'longitude': '45.008869', 'Температура': '25.09', 'Влажность': '40.41', 'Давление': '747.47', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1288, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:27:31', 'latitude': '53.178299', 'longitude': '45.008869', 'Температура': '25.11', 'Влажность': '40.40', 'Давление': '747.47', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1288, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:27:52', 'latitude': '53.178295', 'longitude': '45.008869', 'Температура': '25.10', 'Влажность': '40.38', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1280, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
